Product_Name,Year_Month,Warehouse_Inventory,Inventory_Cost_Per_Unit,Storage_Cost
Fitbit The One Wireless Activity & Sleep Trac,201712,0,0.35,0
Nike Kids' Grade School KD VI Basketball Shoe,201712,0,1.44,0
The North Face Women's Recon Backpack,201712,0,0.29,0
Smart watch,201712,42,1.59,66.69
Baby sweater,201712,0,2.07,0
MDGolf Pittsburgh Penguins Putter,201712,0,1.15,0
Men's gala suit,201712,3,1.57,4.72
Merrell Men's All Out Flash Trail Running Sho,201712,0,0.24,0
Garmin Approach S3 Golf GPS Watch,201712,0,1.09,0
LIJA Women's Button Golf Dress,201712,0,1.12,0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201712,0,1.27,0
Merrell Women's Siren Mid Waterproof Hiking B,201712,0,1.75,0
TaylorMade Women's RBZ SL Rescue,201712,0,1.39,0
Mio ALPHA Heart Rate Monitor/Sport Watch,201712,0,2.09,0
TaylorMade 2017 Purelite Stand Bag,201712,0,0.96,0
Cleveland Golf Collegiate My Custom Wedge 588,201712,0,0.67,0
adidas Brazuca 2017 Official Match Ball,201712,0,1.08,0
Nike Men's Fingertrap Max Training Shoe,201712,0,0.9,0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201712,0,1.6,0
Nike Men's Kobe IX Elite Low Basketball Shoe,201712,0,0.43,0
Ogio Race Golf Shoes,201712,0,0.34,0
insta-bed Neverflat Air Mattress,201712,0,2.23,0
GolfBuddy VT3 GPS Watch,201712,0,1.59,0
Merrell Women's Grassbow Sport Waterproof Hik,201712,0,0.94,0
Titleist Small Wheeled Travel Cover,201712,0,0.62,0
Polar Loop Activity Tracker,201712,0,2.27,0
Pelican Maverick 100X Kayak,201712,0,2.11,0
Garmin Approach S4 Golf GPS Watch,201712,0,1.05,0
Total Gym 1400,201712,0,2,0
Garmin Forerunner 910XT GPS Watch,201712,0,0.24,0
Titleist Club Glove Travel Cover,201712,0,1.37,0
GoPro HERO3+ Black Edition Camera,201712,0,1.43,0
Diamondback Boys' Insight 24 Performance Hybr,201712,0,0.94,0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201712,0,0.39,0
Stiga Master Series ST3100 Competition Indoor,201712,0,0.47,0
SOLE E35 Elliptical,201712,1,0.36,0.36
Bushnell Pro X7 Jolt Slope Rangefinder,201712,9,2.23,20.04
SOLE E25 Elliptical,201712,23,1.84,42.39
Bowflex SelectTech 1090 Dumbbells,201712,36,1.49,53.8
Perfect Fitness Perfect Rip Deck,201711,7,2.3,16.13
Nike Men's Dri-FIT Victory Golf Polo,201711,14,1.06,14.79
O'Brien Men's Neoprene Life Vest,201711,0,1.96,0
Nike Men's Free 5.0+ Running Shoe,201711,3,2.25,6.74
Under Armour Girls' Toddler Spine Surge Runni,201711,5,0.41,2.06
Nike Men's CJ Elite 2 TD Football Cleat,201711,0,1.17,0
Field & Stream Sportsman 16 Gun Fire Safe,201711,0,2.22,0
Pelican Sunstream 100 Kayak,201711,0,0.17,0
Diamondback Women's Serene Classic Comfort Bi,201711,0,0.61,0
ENO Atlas Hammock Straps,201711,0,1.68,0
Nike Men's Comfort 2 Slide,201711,0,1.03,0
adidas Youth Germany Black/Red Away Match Soc,201711,0,1.16,0
Team Golf St. Louis Cardinals Putter Grip,201711,0,1.3,0
LIJA Women's Eyelet Sleeveless Golf Polo,201711,0,0.97,0
adidas Men's F10 Messi TRX FG Soccer Cleat,201711,0,1.95,0
Glove It Women's Imperial Golf Glove,201711,0,0.87,0
Glove It Imperial Golf Towel,201711,2,1.87,3.74
Bridgestone e6 Straight Distance NFL Carolina,201711,0,2.2,0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201711,0,0.32,0
Columbia Men's PFG Anchor Tough T-Shirt,201711,0,1.37,0
Under Armour Women's Ignite Slide,201711,0,0.3,0
Team Golf Tennessee Volunteers Putter Grip,201711,0,0.84,0
Titleist Pro V1x High Numbers Personalized Go,201711,0,0.71,0
Nike Men's Deutschland Weltmeister Winners Bl,201711,0,1.93,0
Bridgestone e6 Straight Distance NFL San Dieg,201711,0,2.23,0
Nike Women's Tempo Shorts,201711,0,0.95,0
Team Golf Texas Longhorns Putter Grip,201711,0,2.11,0
Hirzl Women's Soffft Flex Golf Glove,201711,0,2.28,0
Clicgear 8.0 Shoe Brush,201711,0,1.62,0
Hirzl Women's Hybrid Golf Glove,201711,0,0.44,0
Team Golf Pittsburgh Steelers Putter Grip,201711,0,1.59,0
Top Flite Women's 2017 XL Hybrid,201711,0,0.76,0
Glove It Urban Brick Golf Towel,201711,0,0.83,0
Nike Dri-FIT Crew Sock 6 Pack,201711,0,1.04,0
TYR Boys' Team Digi Jammer,201711,0,1.29,0
Team Golf San Francisco Giants Putter Grip,201711,0,0.32,0
Clicgear Rovic Cooler Bag,201711,0,1.61,0
Hirzl Men's Hybrid Golf Glove,201711,0,1.18,0
Titleist Pro V1x Golf Balls,201711,0,1.58,0
adidas Men's Germany Black Crest Away Tee,201711,0,0.37,0
Titleist Pro V1 High Numbers Personalized Gol,201711,0,1.78,0
Under Armour Women's Micro G Skulpt Running S,201711,0,0.96,0
Under Armour Hustle Storm Medium Duffle Bag,201711,2,1.54,3.09
Under Armour Women's Ignite PIP VI Slide,201711,0,0.8,0
Bag Boy Beverage Holder,201711,0,0.38,0
Under Armour Men's Tech II T-Shirt,201711,0,0.24,0
Team Golf New England Patriots Putter Grip,201711,0,0.71,0
Under Armour Men's Compression EV SL Slide,201711,0,1.16,0
Bridgestone e6 Straight Distance NFL Tennesse,201711,0,0.41,0
Glove It Women's Mod Oval Golf Glove,201711,0,2.23,0
Titleist Pro V1x High Numbers Golf Balls,201711,0,0.6,0
Nike Women's Legend V-Neck T-Shirt,201711,0,1.51,0
Under Armour Kids' Mercenary Slide,201711,0,2.05,0
adidas Kids' F5 Messi FG Soccer Cleat,201711,0,2.27,0
Children's heaters,201711,1,0.78,0.78
Web Camera,201711,5,1.54,7.72
Dell Laptop,201711,22,1.22,26.78
Porcelain crafts,201711,36,0.54,19.52
Sports Books,201711,26,1.47,38.21
DVDs,201711,33,0.79,26.11
Industrial consumer electronics,201711,0,1.81,0
Fighting video games,201711,18,0.16,2.81
Summer dresses,201711,25,0.21,5.26
Lawn mower,201711,8,0.28,2.24
Adult dog supplies,201711,19,2.29,43.54
Rock music,201711,2,0.73,1.47
Elevation Training Mask 2.0,201711,0,0.2,0
LIJA Women's Mid-Length Panel Golf Shorts,201711,0,0.62,0
Toys,201711,0,1.1,0
Brooks Women's Ghost 6 Running Shoe,201711,0,0.35,0
Bag Boy M330 Push Cart,201711,0,1.56,0
Merrell Women's Grassbow Sport Hiking Shoe,201711,0,0.53,0
Nike Men's Free TR 5.0 TB Training Shoe,201711,0,0.79,0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201711,0,0.38,0
First aid kit,201711,0,2.3,0
CDs of rock,201711,3,0.85,2.56
Polar FT4 Heart Rate Monitor,201711,0,1.78,0
LIJA Women's Argyle Golf Polo,201711,0,1.28,0
TaylorMade White Smoke IN-12 Putter,201711,0,2.27,0
Fitbit The One Wireless Activity & Sleep Trac,201711,0,1.56,0
Nike Kids' Grade School KD VI Basketball Shoe,201711,0,0.67,0
The North Face Women's Recon Backpack,201711,0,0.65,0
Smart watch,201711,30,1.09,32.61
Baby sweater,201711,10,0.31,3.06
MDGolf Pittsburgh Penguins Putter,201711,0,1.2,0
Men's gala suit,201711,5,1.21,6.03
Merrell Men's All Out Flash Trail Running Sho,201711,2,1.98,3.96
Garmin Approach S3 Golf GPS Watch,201711,0,1.22,0
LIJA Women's Button Golf Dress,201711,0,1.44,0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201711,0,1.75,0
Merrell Women's Siren Mid Waterproof Hiking B,201711,0,1.97,0
TaylorMade Women's RBZ SL Rescue,201711,0,0.38,0
Mio ALPHA Heart Rate Monitor/Sport Watch,201711,0,1.04,0
TaylorMade 2017 Purelite Stand Bag,201711,0,0.23,0
Cleveland Golf Collegiate My Custom Wedge 588,201711,0,1.03,0
adidas Brazuca 2017 Official Match Ball,201711,0,2.03,0
Nike Men's Fingertrap Max Training Shoe,201711,0,0.53,0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201711,2,0.59,1.18
Nike Men's Kobe IX Elite Low Basketball Shoe,201711,0,0.57,0
Ogio Race Golf Shoes,201711,0,0.4,0
insta-bed Neverflat Air Mattress,201711,0,1.65,0
GolfBuddy VT3 GPS Watch,201711,0,1.46,0
Merrell Women's Grassbow Sport Waterproof Hik,201711,0,2.08,0
Titleist Small Wheeled Travel Cover,201711,0,0.77,0
Polar Loop Activity Tracker,201711,1,1.09,1.09
Pelican Maverick 100X Kayak,201711,0,1.63,0
Garmin Approach S4 Golf GPS Watch,201711,0,2.32,0
Total Gym 1400,201711,0,2.03,0
Garmin Forerunner 910XT GPS Watch,201711,0,1.48,0
Titleist Club Glove Travel Cover,201711,0,0.99,0
GoPro HERO3+ Black Edition Camera,201711,0,0.71,0
Diamondback Boys' Insight 24 Performance Hybr,201711,0,2.33,0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201711,0,1.96,0
Stiga Master Series ST3100 Competition Indoor,201711,0,0.63,0
SOLE E35 Elliptical,201711,6,1.21,7.23
Bushnell Pro X7 Jolt Slope Rangefinder,201711,34,1.75,59.61
SOLE E25 Elliptical,201711,24,2.01,48.14
Bowflex SelectTech 1090 Dumbbells,201711,7,1.35,9.46
Perfect Fitness Perfect Rip Deck,201710,2,2.28,4.57
Nike Men's Dri-FIT Victory Golf Polo,201710,19,2.3,43.7
O'Brien Men's Neoprene Life Vest,201710,8,2,16.02
Nike Men's Free 5.0+ Running Shoe,201710,7,1.31,9.2
Under Armour Girls' Toddler Spine Surge Runni,201710,14,1.34,18.71
Nike Men's CJ Elite 2 TD Football Cleat,201710,0,0.44,0
Field & Stream Sportsman 16 Gun Fire Safe,201710,0,0.4,0
Pelican Sunstream 100 Kayak,201710,0,2.04,0
Diamondback Women's Serene Classic Comfort Bi,201710,0,1.78,0
ENO Atlas Hammock Straps,201710,0,1.06,0
Nike Men's Comfort 2 Slide,201710,0,0.98,0
adidas Youth Germany Black/Red Away Match Soc,201710,0,1.57,0
Team Golf St. Louis Cardinals Putter Grip,201710,0,0.36,0
LIJA Women's Eyelet Sleeveless Golf Polo,201710,0,1.55,0
adidas Men's F10 Messi TRX FG Soccer Cleat,201710,0,2.24,0
Glove It Women's Imperial Golf Glove,201710,0,0.15,0
Glove It Imperial Golf Towel,201710,0,1.28,0
Bridgestone e6 Straight Distance NFL Carolina,201710,0,0.89,0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201710,0,2.17,0
Columbia Men's PFG Anchor Tough T-Shirt,201710,0,2.24,0
Under Armour Women's Ignite Slide,201710,0,1.56,0
Team Golf Tennessee Volunteers Putter Grip,201710,0,2.12,0
Titleist Pro V1x High Numbers Personalized Go,201710,0,2.11,0
Nike Men's Deutschland Weltmeister Winners Bl,201710,0,0.44,0
Bridgestone e6 Straight Distance NFL San Dieg,201710,0,0.27,0
Nike Women's Tempo Shorts,201710,0,0.32,0
Team Golf Texas Longhorns Putter Grip,201710,0,0.86,0
Hirzl Women's Soffft Flex Golf Glove,201710,0,1.68,0
Clicgear 8.0 Shoe Brush,201710,0,0.76,0
Hirzl Women's Hybrid Golf Glove,201710,0,2.09,0
Team Golf Pittsburgh Steelers Putter Grip,201710,0,2.22,0
Top Flite Women's 2017 XL Hybrid,201710,2,2.04,4.07
Glove It Urban Brick Golf Towel,201710,0,2.31,0
Nike Dri-FIT Crew Sock 6 Pack,201710,0,0.82,0
TYR Boys' Team Digi Jammer,201710,0,0.3,0
Team Golf San Francisco Giants Putter Grip,201710,0,1.88,0
Clicgear Rovic Cooler Bag,201710,0,2.15,0
Hirzl Men's Hybrid Golf Glove,201710,0,2.19,0
Titleist Pro V1x Golf Balls,201710,0,1.3,0
adidas Men's Germany Black Crest Away Tee,201710,0,1.03,0
Titleist Pro V1 High Numbers Personalized Gol,201710,0,1.3,0
Under Armour Women's Micro G Skulpt Running S,201710,0,1.17,0
Under Armour Hustle Storm Medium Duffle Bag,201710,0,1.88,0
Under Armour Women's Ignite PIP VI Slide,201710,0,0.23,0
Bag Boy Beverage Holder,201710,0,0.14,0
Under Armour Men's Tech II T-Shirt,201710,0,0.2,0
Team Golf New England Patriots Putter Grip,201710,0,1.09,0
Under Armour Men's Compression EV SL Slide,201710,0,0.1,0
Bridgestone e6 Straight Distance NFL Tennesse,201710,0,1.51,0
Glove It Women's Mod Oval Golf Glove,201710,0,0.77,0
Titleist Pro V1x High Numbers Golf Balls,201710,0,0.9,0
Nike Women's Legend V-Neck T-Shirt,201710,0,1.49,0
Under Armour Kids' Mercenary Slide,201710,0,1.34,0
adidas Kids' F5 Messi FG Soccer Cleat,201710,0,1.86,0
Children's heaters,201710,3,2.28,6.85
Web Camera,201710,234,0.89,207.7
Dell Laptop,201710,33,1.59,52.47
Porcelain crafts,201710,39,1.99,77.74
Sports Books,201710,58,2.04,118.12
DVDs,201710,41,0.17,6.98
Industrial consumer electronics,201710,5,0.67,3.37
Fighting video games,201710,0,1.94,0
Summer dresses,201710,0,1.95,0
Lawn mower,201710,0,0.28,0
Adult dog supplies,201710,0,1.59,0
Rock music,201710,0,0.99,0
Elevation Training Mask 2.0,201710,0,1.73,0
LIJA Women's Mid-Length Panel Golf Shorts,201710,0,0.51,0
Toys,201710,0,1.74,0
Brooks Women's Ghost 6 Running Shoe,201710,0,0.35,0
Bag Boy M330 Push Cart,201710,0,1.52,0
Merrell Women's Grassbow Sport Hiking Shoe,201710,0,1.36,0
Nike Men's Free TR 5.0 TB Training Shoe,201710,0,0.15,0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201710,0,1.68,0
First aid kit,201710,0,0.93,0
CDs of rock,201710,34,2.22,75.58
Polar FT4 Heart Rate Monitor,201710,0,1.13,0
LIJA Women's Argyle Golf Polo,201710,0,0.25,0
TaylorMade White Smoke IN-12 Putter,201710,0,0.58,0
Fitbit The One Wireless Activity & Sleep Trac,201710,0,0.42,0
Nike Kids' Grade School KD VI Basketball Shoe,201710,0,1.77,0
The North Face Women's Recon Backpack,201710,0,0.61,0
Smart watch,201710,0,1.55,0
Baby sweater,201710,27,1.53,41.24
MDGolf Pittsburgh Penguins Putter,201710,1,0.75,0.75
Men's gala suit,201710,0,1.07,0
Merrell Men's All Out Flash Trail Running Sho,201710,0,1.35,0
Garmin Approach S3 Golf GPS Watch,201710,4,1.83,7.33
LIJA Women's Button Golf Dress,201710,0,2.24,0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201710,1,0.8,0.8
Merrell Women's Siren Mid Waterproof Hiking B,201710,0,0.71,0
TaylorMade Women's RBZ SL Rescue,201710,0,0.41,0
Mio ALPHA Heart Rate Monitor/Sport Watch,201710,0,0.97,0
TaylorMade 2017 Purelite Stand Bag,201710,0,1.47,0
Cleveland Golf Collegiate My Custom Wedge 588,201710,0,2.31,0
adidas Brazuca 2017 Official Match Ball,201710,2,0.86,1.71
Nike Men's Fingertrap Max Training Shoe,201710,0,1,0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201710,0,0.66,0
Nike Men's Kobe IX Elite Low Basketball Shoe,201710,0,2.14,0
Ogio Race Golf Shoes,201710,0,0.95,0
insta-bed Neverflat Air Mattress,201710,0,0.14,0
GolfBuddy VT3 GPS Watch,201710,0,1.81,0
Merrell Women's Grassbow Sport Waterproof Hik,201710,0,1.52,0
Titleist Small Wheeled Travel Cover,201710,0,1.38,0
Polar Loop Activity Tracker,201710,0,1.61,0
Pelican Maverick 100X Kayak,201710,0,0.84,0
Garmin Approach S4 Golf GPS Watch,201710,0,0.17,0
Total Gym 1400,201710,0,2.13,0
Garmin Forerunner 910XT GPS Watch,201710,2,0.54,1.07
Titleist Club Glove Travel Cover,201710,0,2.32,0
GoPro HERO3+ Black Edition Camera,201710,1,1.37,1.37
Diamondback Boys' Insight 24 Performance Hybr,201710,4,2.15,8.6
Diamondback Girls' Clarity 24 Hybrid Bike 201,201710,0,1.82,0
Stiga Master Series ST3100 Competition Indoor,201710,0,1.31,0
SOLE E35 Elliptical,201710,10,2.08,20.79
Bushnell Pro X7 Jolt Slope Rangefinder,201710,29,1.82,52.86
SOLE E25 Elliptical,201710,7,1.92,13.45
Bowflex SelectTech 1090 Dumbbells,201710,10,2.33,23.29
Perfect Fitness Perfect Rip Deck,201709,536,1.66,887.97
Nike Men's Dri-FIT Victory Golf Polo,201709,531,0.93,492.59
O'Brien Men's Neoprene Life Vest,201709,150,0.92,137.37
Nike Men's Free 5.0+ Running Shoe,201709,105,0.35,36.89
Under Armour Girls' Toddler Spine Surge Runni,201709,165,1.43,235.63
Nike Men's CJ Elite 2 TD Football Cleat,201709,106,1.02,108.55
Field & Stream Sportsman 16 Gun Fire Safe,201709,8,1.5,11.97
Pelican Sunstream 100 Kayak,201709,29,1.61,46.66
Diamondback Women's Serene Classic Comfort Bi,201709,34,0.77,26.02
ENO Atlas Hammock Straps,201709,0,1.35,0
Nike Men's Comfort 2 Slide,201709,0,1.72,0
adidas Youth Germany Black/Red Away Match Soc,201709,0,0.61,0
Team Golf St. Louis Cardinals Putter Grip,201709,0,2.25,0
LIJA Women's Eyelet Sleeveless Golf Polo,201709,0,1.39,0
adidas Men's F10 Messi TRX FG Soccer Cleat,201709,0,0.79,0
Glove It Women's Imperial Golf Glove,201709,0,1.71,0
Glove It Imperial Golf Towel,201709,0,0.93,0
Bridgestone e6 Straight Distance NFL Carolina,201709,0,0.46,0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201709,0,1.4,0
Columbia Men's PFG Anchor Tough T-Shirt,201709,0,2.04,0
Under Armour Women's Ignite Slide,201709,0,1.22,0
Team Golf Tennessee Volunteers Putter Grip,201709,0,0.49,0
Titleist Pro V1x High Numbers Personalized Go,201709,0,1.42,0
Nike Men's Deutschland Weltmeister Winners Bl,201709,5,1.14,5.71
Bridgestone e6 Straight Distance NFL San Dieg,201709,0,1.66,0
Nike Women's Tempo Shorts,201709,0,1.92,0
Team Golf Texas Longhorns Putter Grip,201709,0,1.03,0
Hirzl Women's Soffft Flex Golf Glove,201709,0,2.14,0
Clicgear 8.0 Shoe Brush,201709,0,1.72,0
Hirzl Women's Hybrid Golf Glove,201709,0,0.18,0
Team Golf Pittsburgh Steelers Putter Grip,201709,0,1.38,0
Top Flite Women's 2017 XL Hybrid,201709,4,0.76,3.06
Glove It Urban Brick Golf Towel,201709,0,1.77,0
Nike Dri-FIT Crew Sock 6 Pack,201709,0,1.31,0
TYR Boys' Team Digi Jammer,201709,0,0.71,0
Team Golf San Francisco Giants Putter Grip,201709,0,1.72,0
Clicgear Rovic Cooler Bag,201709,0,2.18,0
Hirzl Men's Hybrid Golf Glove,201709,0,0.66,0
Titleist Pro V1x Golf Balls,201709,0,1.48,0
adidas Men's Germany Black Crest Away Tee,201709,0,2.11,0
Titleist Pro V1 High Numbers Personalized Gol,201709,0,2.16,0
Under Armour Women's Micro G Skulpt Running S,201709,0,0.19,0
Under Armour Hustle Storm Medium Duffle Bag,201709,0,1.74,0
Under Armour Women's Ignite PIP VI Slide,201709,0,2.01,0
Bag Boy Beverage Holder,201709,1,0.6,0.6
Under Armour Men's Tech II T-Shirt,201709,0,0.42,0
Team Golf New England Patriots Putter Grip,201709,0,1.32,0
Under Armour Men's Compression EV SL Slide,201709,0,0.37,0
Bridgestone e6 Straight Distance NFL Tennesse,201709,0,1.2,0
Glove It Women's Mod Oval Golf Glove,201709,0,0.34,0
Titleist Pro V1x High Numbers Golf Balls,201709,0,0.94,0
Nike Women's Legend V-Neck T-Shirt,201709,0,1.18,0
Under Armour Kids' Mercenary Slide,201709,0,0.91,0
adidas Kids' F5 Messi FG Soccer Cleat,201709,0,1.7,0
Children's heaters,201709,2,2.18,4.35
Web Camera,201709,15,1.89,28.28
Dell Laptop,201709,2,0.93,1.85
Porcelain crafts,201709,0,0.43,0
Sports Books,201709,0,0.99,0
DVDs,201709,2,2.22,4.44
Industrial consumer electronics,201709,0,1.18,0
Fighting video games,201709,0,0.64,0
Summer dresses,201709,0,0.73,0
Lawn mower,201709,0,0.48,0
Adult dog supplies,201709,0,0.67,0
Rock music,201709,0,2.17,0
Elevation Training Mask 2.0,201709,3,1.28,3.85
LIJA Women's Mid-Length Panel Golf Shorts,201709,3,0.83,2.48
Toys,201709,0,1.86,0
Brooks Women's Ghost 6 Running Shoe,201709,8,0.38,3.03
Bag Boy M330 Push Cart,201709,4,1.4,5.58
Merrell Women's Grassbow Sport Hiking Shoe,201709,10,0.31,3.12
Nike Men's Free TR 5.0 TB Training Shoe,201709,3,2.08,6.23
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201709,8,1.66,13.27
First aid kit,201709,0,2.18,0
CDs of rock,201709,1,0.87,0.87
Polar FT4 Heart Rate Monitor,201709,8,1.12,8.97
LIJA Women's Argyle Golf Polo,201709,4,1.51,6.03
TaylorMade White Smoke IN-12 Putter,201709,0,1.34,0
Fitbit The One Wireless Activity & Sleep Trac,201709,1,2.04,2.04
Nike Kids' Grade School KD VI Basketball Shoe,201709,14,0.47,6.64
The North Face Women's Recon Backpack,201709,1,0.96,0.96
Smart watch,201709,0,1.27,0
Baby sweater,201709,1,1.3,1.3
MDGolf Pittsburgh Penguins Putter,201709,0,2.1,0
Men's gala suit,201709,0,1.74,0
Merrell Men's All Out Flash Trail Running Sho,201709,3,2.23,6.7
Garmin Approach S3 Golf GPS Watch,201709,2,0.78,1.57
LIJA Women's Button Golf Dress,201709,0,0.3,0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201709,0,1.89,0
Merrell Women's Siren Mid Waterproof Hiking B,201709,2,0.12,0.25
TaylorMade Women's RBZ SL Rescue,201709,4,1.13,4.54
Mio ALPHA Heart Rate Monitor/Sport Watch,201709,3,0.61,1.83
TaylorMade 2017 Purelite Stand Bag,201709,0,0.12,0
Cleveland Golf Collegiate My Custom Wedge 588,201709,0,1.2,0
adidas Brazuca 2017 Official Match Ball,201709,0,2.07,0
Nike Men's Fingertrap Max Training Shoe,201709,2,2.24,4.47
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201709,4,2.21,8.83
Nike Men's Kobe IX Elite Low Basketball Shoe,201709,0,2.16,0
Ogio Race Golf Shoes,201709,0,0.32,0
insta-bed Neverflat Air Mattress,201709,0,1.87,0
GolfBuddy VT3 GPS Watch,201709,3,0.95,2.85
Merrell Women's Grassbow Sport Waterproof Hik,201709,0,2.13,0
Titleist Small Wheeled Travel Cover,201709,0,2.07,0
Polar Loop Activity Tracker,201709,3,1.22,3.65
Pelican Maverick 100X Kayak,201709,3,1.41,4.24
Garmin Approach S4 Golf GPS Watch,201709,2,0.18,0.35
Total Gym 1400,201709,1,0.19,0.19
Garmin Forerunner 910XT GPS Watch,201709,2,0.78,1.56
Titleist Club Glove Travel Cover,201709,3,0.98,2.94
GoPro HERO3+ Black Edition Camera,201709,0,0.58,0
